subject	rt	item_type	name	item	sentence	gender	response_type	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	eDucation	time_in_minutes
13	43724	wohl	Christoph	regen	Es hat wohl geregnet.	M	evidence	evidence3	4	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
13	27359	bare	Bettina	kaffee	Der Kaffee ist kalt geworden.	F	speakerbelief	0.9	5	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
13	27359	bare	Bettina	kaffee	Der Kaffee ist kalt geworden.	F	evidence	evidence3	5	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
13	52807	muss	Kim	hund	Der Nachbarshund muss gebellt haben.	F	speakerbelief	0.81	6	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
13	52807	muss	Kim	hund	Der Nachbarshund muss gebellt haben.	F	evidence	evidence4	6	1920	1200	Windows	Firefox	deutsch	2	Female	49		Yes	2	5.026
14	152183	vermutlich	Nico	kaffee	Der Kaffee ist vermutlich kalt geworden.	M	speakerbelief	0.98	3	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
14	152183	vermutlich	Nico	kaffee	Der Kaffee ist vermutlich kalt geworden.	M	evidence	evidence3	3	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
14	25646	wohl	Mark	regen	Es hat wohl geregnet.	M	speakerbelief	1	4	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
14	25646	wohl	Mark	regen	Es hat wohl geregnet.	M	evidence	evidence3	4	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
14	17445	muss	Mario	abendessen	Das Abendessen muss fertig geworden sein.	M	speakerbelief	1	5	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
14	17445	muss	Mario	abendessen	Das Abendessen muss fertig geworden sein.	M	evidence	evidence3	5	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
14	23711	bare	Katharina	hund	Der Nachbarshund hat gebellt.	F	speakerbelief	1	6	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
14	23711	bare	Katharina	hund	Der Nachbarshund hat gebellt.	F	evidence	evidence1	6	1920	1080	Windows	Firefox	Deutsch	1	Male	39		Yes	1	4.403333333
15	19229	wohl	Frank	kaffee	Der Kaffee ist wohl kalt geworden.	M	speakerbelief	0.47	3	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
15	19229	wohl	Frank	kaffee	Der Kaffee ist wohl kalt geworden.	M	evidence	evidence3	3	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
15	24444	vermutlich	Nicole	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	speakerbelief	0.26	4	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
15	24444	vermutlich	Nicole	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	evidence	evidence4	4	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
15	15031	muss	Jakob	regen	Es muss geregnet haben.	M	speakerbelief	0.91	5	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
15	15031	muss	Jakob	regen	Es muss geregnet haben.	M	evidence	evidence1	5	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
15	12081	bare	Christian	hund	Der Nachbarshund hat gebellt.	M	speakerbelief	0.99	6	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
15	12081	bare	Christian	hund	Der Nachbarshund hat gebellt.	M	evidence	evidence2	6	1440	900	Mac	Safari	Deutsch	2	Male	41		Yes	2	1.558416667
16	43234	bare	Jessika	regen	Es hat geregnet.	F	speakerbelief	0.54	3	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
16	43234	bare	Jessika	regen	Es hat geregnet.	F	evidence	evidence3	3	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
16	28046	wohl	Steffi	kaffee	Der Kaffee ist wohl kalt geworden.	F	speakerbelief	0.48	4	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
16	28046	wohl	Steffi	kaffee	Der Kaffee ist wohl kalt geworden.	F	evidence	evidence3	4	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
16	27171	muss	Melissa	hund	Der Nachbarshund muss gebellt haben.	F	speakerbelief	0.48	5	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
16	27171	muss	Melissa	hund	Der Nachbarshund muss gebellt haben.	F	evidence	evidence5	5	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
16	28170	vermutlich	Sarah	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	speakerbelief	0.56	6	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
16	28170	vermutlich	Sarah	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	evidence	evidence4	6	1920	1080	Windows	Chrome	deutsch	2	Female	52		Yes	1	3.0709
17	80793	vermutlich	Melissa	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	speakerbelief	0	3	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
17	80793	vermutlich	Melissa	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	evidence	evidence4	3	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
17	59743	bare	Mark	regen	Es hat geregnet.	M	speakerbelief	0.99	4	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
17	59743	bare	Mark	regen	Es hat geregnet.	M	evidence	evidence1	4	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
17	60833	wohl	Caroline	hund	Der Nachbarshund hat wohl gebellt.	F	speakerbelief	1	5	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
17	60833	wohl	Caroline	hund	Der Nachbarshund hat wohl gebellt.	F	evidence	evidence2	5	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
17	43302	muss	Christina	kaffee	Der Kaffee muss kalt geworden sein.	F	speakerbelief	0.02	6	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
17	43302	muss	Christina	kaffee	Der Kaffee muss kalt geworden sein.	F	evidence	evidence3	6	1440	900	Windows	Firefox	deutsch	2	Male	64		Yes	1	5.426483333
18	38032	bare	Jakob	kaffee	Der Kaffee ist kalt geworden.	M	speakerbelief	1	3	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
18	38032	bare	Jakob	kaffee	Der Kaffee ist kalt geworden.	M	evidence	evidence1	3	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
18	27444	muss	Jenny	hund	Der Nachbarshund muss gebellt haben.	F	speakerbelief	0.82	4	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
18	27444	muss	Jenny	hund	Der Nachbarshund muss gebellt haben.	F	evidence	evidence2	4	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
18	23239	wohl	Lisa	regen	Es hat wohl geregnet.	F	speakerbelief	0.65	5	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
18	23239	wohl	Lisa	regen	Es hat wohl geregnet.	F	evidence	evidence3	5	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
18	14832	vermutlich	Diana	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	speakerbelief	0.65	6	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
18	14832	vermutlich	Diana	abendessen	Das Abendessen ist vermutlich fertig geworden.	F	evidence	evidence4	6	1920	1080	Windows	Firefox	deutsch	1	Male	29		Yes	1	2.25395
19	46458	vermutlich	Caroline	regen	Es hat vermutlich geregnet.	F	speakerbelief	0.41	3	1280	800	Linux	Chrome	Deutsch	2	Female	29		Yes	1	2.30445
19	46458	vermutlich	Caroline	regen	Es hat vermutlich geregnet.	F	evidence	evidence1	3	1280	800	Linux	Chrome	Deutsch	2	Female	29		Yes	1	2.30445
19	25586	muss	Julie	kaffee	Der Kaffee muss kalt geworden sein.	F	speakerbelief	0.47	4	1280	800	Linux	Chrome	Deutsch	2	Female	29		Yes	1	2.30445
19	25586	muss	Julie	kaffee	Der Kaffee muss kalt geworden sein.	F	evidence	evidence1	4	1280	800	Linux	Chrome	Deutsch	2	Female	29		Yes	1	2.30445
